index,X,Y,Z,formation
0,509119.281440983,7489490.195147263,494.6429744800947,Jeerinah_Formation
1,508274.77063434,7488768.79112523,474.87161042396826,Jeerinah_Formation
2,507579.81012754,7488396.78038913,460.9889731401344,Jeerinah_Formation
3,506348.565154284,7486596.285765267,480.8848628074636,Jeerinah_Formation
4,506126.81907136,7486431.74095279,470.23610040850747,Jeerinah_Formation
5,502966.40500491246,7492175.079831012,560.896551683893,Brockman_Iron_Formation
6,502528.04940299,7490569.21972174,644.7987173032876,Brockman_Iron_Formation
7,501556.22816376,7489473.70652779,635.2247389455943,Brockman_Iron_Formation
8,507235.8874962021,7495469.90680081,753.2082558324097,Brockman_Iron_Formation
9,506839.79019263,7495149.29129947,676.4293319123435,Brockman_Iron_Formation
10,505493.6893041,7494512.77983444,605.4678118630426,Brockman_Iron_Formation
11,501435.5322662901,7488977.282246865,688.3835151525325,Brockman_Iron_Formation
12,500484.46052287,7488182.19026322,764.9841571214673,Brockman_Iron_Formation
13,499922.17970331,7487400.17813625,684.0062704555876,Brockman_Iron_Formation
14,499631.46820378,7486889.66947759,666.9747937997455,Brockman_Iron_Formation
15,506407.289440254,7491316.435117466,564.9690957434136,Brockman_Iron_Formation
16,505796.96690759,7490596.27116559,623.3468443629305,Brockman_Iron_Formation
17,505793.8315727,7489940.75859599,584.8899897166267,Brockman_Iron_Formation
18,505486.60981665,7489528.75001091,606.842171915418,Brockman_Iron_Formation
19,504695.14003789,7488928.23949772,608.5687040477756,Brockman_Iron_Formation
20,504669.54047863,7488883.729435,599.5457269203206,Brockman_Iron_Formation
21,503306.0540438487,7490781.73291805,606.8401324755503,Mount_McRae_Shale_and_Mount_Sylvia_Formation
22,502547.77896971,7489366.22072721,578.4909620320448,Mount_McRae_Shale_and_Mount_Sylvia_Formation
23,502464.76170227,7489296.7201959,575.5571019300498,Mount_McRae_Shale_and_Mount_Sylvia_Formation
24,501916.63960086,7489038.7087013,568.4205308887296,Mount_McRae_Shale_and_Mount_Sylvia_Formation
25,508107.57430584007,7495469.90680081,604.9098599048414,Mount_McRae_Shale_and_Mount_Sylvia_Formation
26,507476.13969601,7495026.79869981,602.8111961692914,Mount_McRae_Shale_and_Mount_Sylvia_Formation
27,505934.22980426,7494121.28031803,579.820006843648,Mount_McRae_Shale_and_Mount_Sylvia_Formation
28,509119.281440983,7495365.541019974,581.3344556758491,Wittenoom_Formation
29,507794.30947223,7494390.30871184,602.3374653675744,Wittenoom_Formation
30,507280.30910084,7494072.30066574,595.7347232101072,Wittenoom_Formation
31,506203.48034953,7492750.2792031,623.76725913142,Wittenoom_Formation
32,500532.69861952,7486882.18080314,559.0610492815832,Mount_McRae_Shale_and_Mount_Sylvia_Formation
33,500276.068476393,7486286.997082645,564.044975413218,Mount_McRae_Shale_and_Mount_Sylvia_Formation
34,502012.8017218719,7488402.996515593,557.7205337604685,Mount_McRae_Shale_and_Mount_Sylvia_Formation
35,501434.63013427,7487978.1899042,569.5280680432386,Mount_McRae_Shale_and_Mount_Sylvia_Formation
36,501198.04160652,7487706.19086264,569.8448985495984,Mount_McRae_Shale_and_Mount_Sylvia_Formation
37,500648.04987592,7487066.19074518,559.9250506516033,Mount_McRae_Shale_and_Mount_Sylvia_Formation
38,504881.2899033824,7494633.706766835,562.3888905334215,Weeli_Wolli_Formation
39,504099.86133467,7494774.25984016,537.9398452091928,Weeli_Wolli_Formation
40,503285.39976784,7494676.7503044,558.0665528177145,Weeli_Wolli_Formation
41,502723.76017321,7494259.74873046,540.4619826561935,Weeli_Wolli_Formation
42,499497.8827818414,7492735.507166494,534.9526211998384,Weeli_Wolli_Formation
43,499701.62931125,7492599.70160313,542.138015089077,Weeli_Wolli_Formation
44,499629.76038692,7491737.19133755,559.7911154312816,Weeli_Wolli_Formation
45,502581.9229210576,7487731.790835503,526.5382983047072,Wittenoom_Formation
46,501883.76066227,7487479.68946818,516.0838986852681,Wittenoom_Formation
47,501705.06865975,7487346.70073052,530.4352828574001,Wittenoom_Formation
48,501185.9980822,7486515.69385012,545.6567450479284,Wittenoom_Formation
49,502950.0597080983,7487237.899449867,499.4364556848278,Marra_Mamba_Iron_Formation
50,502637.98246221,7486947.2101378,571.3165374175369,Marra_Mamba_Iron_Formation
51,502158.00848868,7486313.19815885,549.4348421239818,Marra_Mamba_Iron_Formation
52,505081.81917111,7488665.24045119,557.2139977102096,Mount_McRae_Shale_and_Mount_Sylvia_Formation
53,504996.2326014074,7488503.516245223,508.3095728174532,Mount_McRae_Shale_and_Mount_Sylvia_Formation
54,506686.8425990525,7490520.371858545,524.9513571948459,Mount_McRae_Shale_and_Mount_Sylvia_Formation
55,506212.40951548,7489702.76901109,531.7049522580133,Mount_McRae_Shale_and_Mount_Sylvia_Formation
56,505177.75958611,7488772.73896696,553.1234086394683,Mount_McRae_Shale_and_Mount_Sylvia_Formation
57,509119.281440983,7494628.705166831,633.8116480126653,Marra_Mamba_Iron_Formation
58,507948.29800811,7493645.8073712,693.6415626300944,Marra_Mamba_Iron_Formation
59,507054.66880202,7492956.79096984,622.1826971722802,Marra_Mamba_Iron_Formation
60,506364.62965554,7492286.27280427,667.3121396131123,Marra_Mamba_Iron_Formation
61,507030.7397867271,7489583.07854068,516.9973235273353,Wittenoom_Formation
62,506104.34892895,7488379.74796715,539.4010927180559,Wittenoom_Formation
63,505803.82967147,7488037.25008973,536.2566358615011,Wittenoom_Formation
64,505574.35081432,7487924.24029783,515.7667149741687,Wittenoom_Formation
65,503746.0483335564,7489822.020828536,595.5974771420646,Wittenoom_Formation
66,503451.52138667,7489520.23037148,583.2436788781231,Wittenoom_Formation
67,502602.71089084,7488882.20944812,564.1022175124625,Wittenoom_Formation
68,502238.71233937,7488559.70991936,565.1930838244324,Wittenoom_Formation
69,504103.3291701181,7489365.860031873,624.7537815224786,Marra_Mamba_Iron_Formation
70,503595.2984016,7489004.22849945,623.7068643065993,Marra_Mamba_Iron_Formation
71,503429.14074833,7488826.7205776,620.9880014677601,Marra_Mamba_Iron_Formation
72,502731.03095053,7487793.21716282,555.549634402789,Marra_Mamba_Iron_Formation
73,507339.16569978365,7488816.381617164,559.2024488322761,Marra_Mamba_Iron_Formation
74,506726.31023245,7488115.26934919,606.6741609914337,Marra_Mamba_Iron_Formation
75,506183.02098253,7487545.24976985,629.6717539707083,Marra_Mamba_Iron_Formation
76,505977.85163023,7487190.25057223,558.5808935218108,Marra_Mamba_Iron_Formation
